2024-04-13 21:31:48,657 INFO    MainThread:16351 [wandb_setup.py:_flush():76] Current SDK version is 0.16.6
2024-04-13 21:31:48,658 INFO    MainThread:16351 [wandb_setup.py:_flush():76] Configure stats pid to 16351
2024-04-13 21:31:48,658 INFO    MainThread:16351 [wandb_setup.py:_flush():76] Loading settings from /Users/ming/.config/wandb/settings
2024-04-13 21:31:48,658 INFO    MainThread:16351 [wandb_setup.py:_flush():76] Loading settings from /Users/ming/Courses/5180/project/dqn-breakout/wandb/settings
2024-04-13 21:31:48,658 INFO    MainThread:16351 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-04-13 21:31:48,658 INFO    MainThread:16351 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-04-13 21:31:48,658 INFO    MainThread:16351 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'project/dqn-breakout/main.py', 'program_abspath': '/Users/ming/Courses/5180/project/dqn-breakout/main.py', 'program': '/Users/ming/Courses/5180/project/dqn-breakout/main.py'}
2024-04-13 21:31:48,658 INFO    MainThread:16351 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-04-13 21:31:48,658 INFO    MainThread:16351 [wandb_init.py:_log_setup():521] Logging user logs to /Users/ming/Courses/5180/project/dqn-breakout/wandb/run-20240413_213148-1lp8sdcc/logs/debug.log
2024-04-13 21:31:48,658 INFO    MainThread:16351 [wandb_init.py:_log_setup():522] Logging internal logs to /Users/ming/Courses/5180/project/dqn-breakout/wandb/run-20240413_213148-1lp8sdcc/logs/debug-internal.log
2024-04-13 21:31:48,658 INFO    MainThread:16351 [wandb_init.py:init():561] calling init triggers
2024-04-13 21:31:48,658 INFO    MainThread:16351 [wandb_init.py:init():568] wandb.init called with sweep_config: {}
config: {}
2024-04-13 21:31:48,658 INFO    MainThread:16351 [wandb_init.py:init():611] starting backend
2024-04-13 21:31:48,658 INFO    MainThread:16351 [wandb_init.py:init():615] setting up manager
2024-04-13 21:31:48,660 INFO    MainThread:16351 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-04-13 21:31:48,662 INFO    MainThread:16351 [wandb_init.py:init():623] backend started and connected
2024-04-13 21:31:48,666 INFO    MainThread:16351 [wandb_init.py:init():715] updated telemetry
2024-04-13 21:31:48,693 INFO    MainThread:16351 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2024-04-13 21:31:49,073 INFO    MainThread:16351 [wandb_run.py:_on_init():2357] communicating current version
2024-04-13 21:31:49,322 INFO    MainThread:16351 [wandb_run.py:_on_init():2366] got version response 
2024-04-13 21:31:49,322 INFO    MainThread:16351 [wandb_init.py:init():799] starting run threads in backend
2024-04-13 21:31:49,487 INFO    MainThread:16351 [wandb_run.py:_console_start():2335] atexit reg
2024-04-13 21:31:49,487 INFO    MainThread:16351 [wandb_run.py:_redirect():2190] redirect: wrap_raw
2024-04-13 21:31:49,487 INFO    MainThread:16351 [wandb_run.py:_redirect():2255] Wrapping output streams.
2024-04-13 21:31:49,488 INFO    MainThread:16351 [wandb_run.py:_redirect():2280] Redirects installed.
2024-04-13 21:31:49,488 INFO    MainThread:16351 [wandb_init.py:init():842] run started, returning control to user process
2024-04-13 21:35:49,564 WARNING MsgRouterThr:16351 [router.py:message_loop():77] message_loop has been closed
